"tid";"price";"timestep"
3102;54.9;2011-12-19 12:00:00
3105;62.12;2011-02-11 11:00:00
3106;49.94;2011-04-04 00:00:00
3109;49.57;2011-04-18 00:00:00
3110;66.99;2011-01-05 18:00:00
3111;80.58;2011-10-27 19:00:00
3112;69.41;2011-09-23 08:00:00
3115;62.78;2011-01-25 09:00:00
3116;39.41;2011-02-20 08:00:00
3117;54.51;2011-07-27 14:00:00
3118;53.07;2011-07-14 19:00:00
3119;56.97;2011-10-27 15:00:00
3120;64.39;2011-03-10 07:00:00
3121;67.32;2011-01-24 18:00:00
3122;55.07;2011-12-07 12:00:00
3125;53.19;2011-08-02 09:00:00
3126;45;2011-03-08 23:00:00
3127;61.55;2011-04-12 08:00:00
3128;43.04;2011-07-02 13:00:00
3129;71.08;2011-06-15 17:00:00
3130;46.41;2011-05-13 04:00:00
3133;49.77;2011-12-03 11:00:00
3134;56.28;2011-08-16 13:00:00
3136;74.75;2011-09-19 13:00:00
3139;43.93;2011-10-28 05:00:00
3141;60;2011-04-21 18:00:00
3143;82.35;2011-01-31 19:00:00
3145;61.26;2011-09-29 14:00:00
3146;51.59;2011-05-31 23:00:00
3147;60.17;2011-04-06 12:00:00
3148;44.55;2011-09-05 00:00:00
3150;60.98;2011-01-05 12:00:00
3153;48.5;2011-03-12 16:00:00
3154;65.65;2011-03-02 20:00:00
3155;49.97;2011-10-09 10:00:00
3156;20.04;2011-12-05 03:00:00
3157;65.25;2011-04-20 11:00:00
3160;56.61;2011-10-08 11:00:00
2854;82.48;2011-11-07 17:00:00
2855;65.97;2011-11-10 12:00:00
2857;18.03;2011-01-14 01:00:00
2861;52.54;2011-06-06 06:00:00
2862;64.07;2011-09-09 19:00:00
2870;22.73;2011-01-01 01:00:00
2874;57.26;2011-11-21 06:00:00
2877;10.54;2011-08-10 02:00:00
2880;53.17;2011-09-02 06:00:00
2881;67.19;2011-10-05 09:00:00
2883;43.85;2011-02-02 23:00:00
2887;61.19;2011-11-09 14:00:00
2888;60.45;2011-07-08 08:00:00
2890;71.76;2011-11-18 08:00:00
2892;46.47;2011-11-30 06:00:00
2893;54.69;2011-05-26 19:00:00
2894;64.24;2011-08-26 08:00:00
2895;85.08;2011-11-02 18:00:00
2901;39;2011-09-25 15:00:00
2902;41.34;2011-10-30 00:00:00
2903;54.1;2011-04-10 23:00:00
2904;34.93;2011-11-27 09:00:00
2905;51.47;2011-08-29 17:00:00
2906;13.18;2011-12-04 05:00:00
2911;47.65;2011-02-13 10:00:00
2912;49.86;2011-02-02 21:00:00
2913;47.44;2011-03-09 00:00:00
2914;68.95;2011-11-14 10:00:00
2915;45;2011-12-29 16:00:00
2921;45.12;2011-03-18 04:00:00
2922;6.52;2011-06-20 02:00:00
2923;12.47;2011-12-27 02:00:00
2926;57.58;2011-09-06 09:00:00
2936;61.09;2011-01-25 11:00:00
2937;61.19;2011-06-30 10:00:00
2938;57.36;2011-06-16 21:00:00
2939;64.93;2011-11-14 13:00:00
2940;44.95;2011-11-22 00:00:00
2943;62;2011-10-11 13:00:00
2944;66.17;2011-11-19 19:00:00
2945;49.89;2011-07-07 06:00:00
2946;49.76;2011-05-11 05:00:00
2947;53.28;2011-08-12 19:00:00
2949;51.35;2011-04-24 22:00:00
2950;47.08;2011-02-01 02:00:00
2951;41.84;2011-12-26 10:00:00
2952;54.47;2011-03-26 00:00:00
2953;49.08;2011-05-17 05:00:00
2954;53.19;2011-02-15 16:00:00
2955;72.11;2011-09-27 20:00:00
2956;63.95;2011-08-30 15:00:00
2957;41.4;2011-12-18 22:00:00
2958;42.91;2011-01-23 03:00:00
2959;58.94;2011-12-02 09:00:00
2960;67.97;2011-11-28 11:00:00
2961;60.62;2011-06-22 09:00:00
2966;61.22;2011-05-04 06:00:00
2967;15.69;2011-12-29 01:00:00
2969;59.8;2011-01-05 08:00:00
2971;63.72;2011-07-11 10:00:00
2972;50.95;2011-08-12 15:00:00
2975;52.38;2011-10-21 21:00:00
2976;70.94;2011-02-28 09:00:00
2979;55.92;2011-08-01 19:00:00
2981;53.55;2011-08-03 12:00:00
2984;66.12;2011-03-23 09:00:00
2986;44.7;2011-06-17 01:00:00
2987;60.45;2011-05-21 22:00:00
2988;46.04;2011-08-13 15:00:00
2991;49.27;2011-05-29 17:00:00
2992;57.94;2011-06-28 19:00:00
2993;45.2;2011-08-03 23:00:00
2996;44.37;2011-03-13 02:00:00
2997;59.24;2011-12-20 19:00:00
2998;48.46;2011-01-20 23:00:00
3001;33.36;2011-09-25 06:00:00
3003;71.35;2011-09-23 20:00:00
3006;64.6;2011-06-22 12:00:00
3007;38;2011-12-26 16:00:00
3009;48.18;2011-06-02 13:00:00
3011;44.6;2011-08-15 16:00:00
3013;48.85;2011-12-28 11:00:00
3016;68.47;2011-03-21 08:00:00
3017;66.92;2011-03-30 09:00:00
3019;57.78;2011-05-21 10:00:00
3022;55.14;2011-06-03 20:00:00
3023;59.07;2011-01-18 16:00:00
3024;63.19;2011-06-29 11:00:00
3027;55.9;2011-07-26 10:00:00
3033;67.03;2011-03-22 20:00:00
3039;44.92;2011-01-11 05:00:00
3040;52.37;2011-06-30 20:00:00
3043;58.66;2011-04-13 10:00:00
3046;49.25;2011-08-22 06:00:00
3047;69.01;2011-05-05 21:00:00
3051;40.36;2011-11-10 03:00:00
3052;47.86;2011-12-28 08:00:00
3053;34.69;2011-10-14 03:00:00
3054;63.9;2011-04-20 20:00:00
3055;59.27;2011-01-02 22:00:00
3056;72.24;2011-11-22 11:00:00
3057;56.19;2011-03-10 06:00:00
3058;42.77;2011-10-07 00:00:00
3059;51.4;2011-03-13 17:00:00
3060;64.67;2011-03-29 19:00:00
3061;66.71;2011-03-25 08:00:00
3062;20.1;2011-01-08 02:00:00
3063;45.08;2011-01-05 01:00:00
3064;53.59;2011-06-07 06:00:00
3065;64.4;2011-02-09 07:00:00
3066;51.46;2011-10-24 17:00:00
3073;69.76;2011-06-21 10:00:00
3074;52.51;2011-11-06 12:00:00
3076;50.91;2011-06-04 07:00:00
3077;48.09;2011-02-04 08:00:00
3079;36.75;2011-02-27 07:00:00
3080;26.72;2011-03-11 00:00:00
3081;30.17;2011-11-27 00:00:00
3082;53.27;2011-08-26 18:00:00
3083;56.91;2011-11-08 15:00:00
3084;41.09;2011-12-20 06:00:00
3086;64.77;2011-02-16 08:00:00
3087;42.85;2011-03-06 04:00:00
3089;45.1;2011-06-27 23:00:00
3091;36.16;2011-07-30 02:00:00
3092;24;2011-07-31 03:00:00
3093;67.92;2011-05-25 16:00:00
3094;32.97;2011-07-02 23:00:00
3095;44.22;2011-10-01 16:00:00
3099;62.25;2011-10-03 08:00:00
3103;29.98;2011-06-24 03:00:00
3104;64.37;2011-01-26 14:00:00
