"tid";"k_sa";"k_su";"k_wd";"my_sa";"my_su";"my_wd";"quarter_hour";"sigma_sa";"sigma_su";"sigma_wd"
19;0.466422975063324;0.43151989579200745;0.4117496311664582;0.07161945849657059;0.07181999087333679;0.06706921011209488;59;0.049198709428310394;0.04777112230658531;0.04218440130352974
20;0.2994525730609894;0.2325427383184433;0.2231941670179367;0.09306696057319641;0.10584424436092375;0.10464147478342056;87;0.05844319239258766;0.06091730669140816;0.06071411073207855
21;0.08656423538923264;0.1335432529449463;0.0992388054728508;0.04341341555118561;0.043617911636829376;0.041190240532159805;14;0.01959984749555588;0.02027696557343006;0.018605059012770653
22;0.480952113866806;0.4752190113067627;0.42794403433799744;0.07121336460113525;0.07571304589509964;0.06254430115222931;48;0.047656167298555374;0.05184207856655121;0.04029466584324837
23;0.12891773879528046;0.14139100909233093;0.0815763771533966;0.043805789202451706;0.0438031405210495;0.0417981892824173;13;0.020294757559895515;0.020810017362236977;0.01874857395887375
24;0.46208328008651733;0.4586114585399628;0.42016392946243286;0.07102244347333908;0.07253742963075638;0.06728116422891617;58;0.04682997986674309;0.04848215728998184;0.04261945560574531
25;0.13239875435829165;0.18173855543136597;0.09194544702768326;0.0439879409968853;0.04471229389309883;0.04186747968196869;10;0.020807482302188873;0.022043511271476746;0.018961874768137932
26;0.12476597726345062;0.1267770528793335;0.18123701214790344;0.04243912175297737;0.04315241053700447;0.04319223761558533;22;0.01967383734881878;0.019638914614915848;0.0208003968000412
27;0.40113922953605646;0.36458855867385864;0.3294597566127777;0.08851513266563416;0.10204214602708817;0.09785284847021103;82;0.05830524861812592;0.06619195640087128;0.06156575679779053
28;0.23254792392253876;0.22350800037384033;0.15104500949382782;0.04532701149582863;0.047629676759243005;0.042874664068222046;7;0.02284105122089386;0.02388138510286808;0.020155958831310272
29;0.19089533388614657;0.15364430844783783;0.41163620352745056;0.045902930200099945;0.04570304602384567;0.05384416878223419;26;0.022976769134402275;0.02187221124768257;0.03280271962285042
30;0.12365210801362991;0.13860578835010529;0.0902709886431694;0.0423581749200821;0.04302884638309478;0.04156642034649849;16;0.01975807175040245;0.019552908837795258;0.018659807741642
31;0.33253568410873413;0.2867918610572815;0.4149236679077149;0.05383572727441788;0.051431912928819656;0.06839403510093689;31;0.03052188642323017;0.027484379708766937;0.04395686089992523
32;0.23856724798679352;0.2273719608783722;0.2047614753246307;0.0879477933049202;0.09020533412694932;0.0918598845601082;91;0.05295577272772789;0.05292942002415657;0.053359948098659515
33;0.45092809200286865;0.43351030349731445;0.38726747035980225;0.07322404533624649;0.07572854310274124;0.07084432989358902;70;0.04886910319328308;0.05054882541298866;0.044674072414636605
34;0.23190928995609283;0.24814073741436005;0.23037995398044583;0.08369117975234985;0.07660359889268875;0.0774712786078453;93;0.049604255706071854;0.045581214129924774;0.046017225831747055
35;0.2668067216873169;0.2959970235824585;0.27908769249916077;0.0610353946685791;0.06307033449411392;0.05314086377620697;1;0.035709187388420105;0.03706765174865723;0.029369233176112175
36;0.5051426887512207;0.5105167627334595;0.47337105870246887;0.07122237235307693;0.07503002882003784;0.06793893128633499;55;0.04875389114022255;0.05114780366420746;0.045338455587625504
37;0.13388574123382568;0.1163053661584854;0.0866493508219719;0.04215088486671448;0.043095678091049194;0.04173332452774048;17;0.01918639056384563;0.019698772579431537;0.018691623583436012
38;0.4764278531074524;0.45310044288635254;0.44533151388168335;0.07354584336280823;0.07213068753480913;0.06352780759334564;39;0.05004844442009926;0.04894880950450898;0.041127655655145645
39;0.2706219255924225;0.28322070837020874;0.2806898355484009;0.06895946711301804;0.057858485728502274;0.059283241629600525;96;0.04110734537243843;0.032867755740880966;0.03390518203377724
40;0.4274261891841888;0.3751102387905121;0.4201037287712098;0.06329526007175446;0.060676869004964835;0.06650187075138092;34;0.041130710393190384;0.03647551313042641;0.04322390630841255
41;0.2811794579029083;0.2996085286140442;0.27529245615005493;0.05600219964981079;0.058424074202775955;0.04984249174594879;2;0.03190670534968376;0.03348253667354584;0.026501109823584557
42;0.22333119809627533;0.25624141097068787;0.25679630041122437;0.0792895033955574;0.07010859996080399;0.0709625855088234;94;0.047209687530994415;0.0411984920501709;0.042212020605802536
43;0.14927026629447937;0.14516325294971466;0.3146589398384094;0.04546311125159264;0.04586013779044151;0.04992036148905754;25;0.022402869537472725;0.022023461759090424;0.027790334075689316
44;0.5058106184005737;0.5115202069282532;0.5123341083526611;0.07274872809648514;0.07839043438434602;0.06749232113361359;53;0.049479227513074875;0.05637535825371742;0.047092728316783905
45;0.22463376820087433;0.16933313012123108;0.40993496775627136;0.04840988293290138;0.04812771454453468;0.06504520028829575;28;0.024688903242349625;0.023444417864084244;0.041429199278354645
46;0.10732625424861908;0.13150687515735626;0.09249528497457504;0.042200807482004166;0.0430818535387516;0.041179362684488297;15;0.019447961822152134;0.02015872299671173;0.018443549051880836
47;0.48011678457260126;0.44325608015060425;0.4308457672595978;0.07090961933135986;0.06609798222780228;0.06649699062108994;36;0.04746130108833313;0.04223240539431572;0.04274369776248932
48;0.5239900946617126;0.5211577415466309;0.5022695660591125;0.07256504148244858;0.07674864679574966;0.06781399250030518;54;0.05108855664730072;0.05408082902431488;0.047186266630887985
49;0.2578243911266327;0.2275172621011734;0.2074095755815506;0.092997707426548;0.10420455783605576;0.1026550829410553;89;0.056013524532318115;0.060420047491788864;0.058957364410161965
50;0.4942395389080048;0.4746577441692352;0.4104333221912384;0.080167755484581;0.0883776918053627;0.08349528908729553;76;0.05635708570480347;0.06276344507932663;0.0555526539683342
51;0.4819577634334564;0.44483751058578486;0.39214169979095453;0.08154276013374329;0.0908975899219513;0.08760854601860046;78;0.0575459823012352;0.06255574524402618;0.057083625346422195
52;0.35667645931243896;0.27940401434898376;0.26659491658210754;0.09041904658079147;0.10458408296108246;0.10176607966423036;85;0.05837102234363556;0.06237390637397766;0.06083999201655388
53;0.429334431886673;0.4214605987071991;0.38644319772720337;0.07207731902599335;0.0723162442445755;0.068557009100914;68;0.04711111634969711;0.04654102399945259;0.04241217672824859
54;0.28053179383277893;0.24226483702659607;0.3780164420604706;0.05151768401265144;0.05008669197559357;0.0698312446475029;30;0.02802402898669243;0.02639005146920681;0.044551245868206024
55;0.2464696615934372;0.2878153622150421;0.28379642963409424;0.07386095076799391;0.06325594335794449;0.06437031179666519;95;0.04375775158405304;0.036967985332012177;0.03783408924937248
56;0.466590017080307;0.4434368908405304;0.405802458524704;0.07206550985574722;0.07236155867576598;0.06714833527803421;62;0.04807200655341149;0.04697863757610321;0.04170166328549385
57;0.15489549934864044;0.12153548747301102;0.2790775001049042;0.04280377179384232;0.043809909373521805;0.046141382306814194;24;0.02014772593975067;0.02112833969295025;0.02417657896876335
58;0.14170005917549133;0.17246736586093905;0.08932049572467804;0.0432550236582756;0.044278547167778015;0.04146458953619003;11;0.02047735825181007;0.021007200703024864;0.01881285011768341
59;0.16146205365657806;0.1996966004371643;0.11927159130573271;0.04450128600001335;0.04551278427243233;0.04220791161060334;9;0.020747976377606392;0.02223452366888523;0.019109807908535004
60;0.3534785211086273;0.2534172832965851;0.2535029649734497;0.09091584384441376;0.10509993880987167;0.10334256291389464;86;0.057707466185092926;0.061659637838602066;0.06145569682121277
61;0.4486462473869324;0.48156881332397466;0.4379158318042755;0.0719510018825531;0.0743175819516182;0.06341566145420074;41;0.04797906428575516;0.050239548087120056;0.04110102355480194
62;0.4886699616909027;0.4500594735145569;0.4389302730560302;0.07316543161869049;0.07093258947134018;0.06531736254692078;38;0.050234030932188034;0.047080133110284805;0.04229667782783508
