"tid";"cp";"type";"v"
11776;0.167414889;GE 1.85-82.5;15
11778;0;GE 1.85-82.5;29
11781;0;Enercon E-82;0
11782;0;GE 1.6-82.5;45
11785;0.031274911;GE 1.6-82.5;25
11787;0;Enercon E-71;39
11789;0;Enercon E-44;50
11791;0.428865062;Enercon E-70;5
11793;0.036161616;GE 1.85-82.5;25
11795;0.335543395;Enercon E-44;4
11799;0;GE 1.85-82.5;46
11801;0.10550722;Enercon E-44;21
11803;0.418968176;Enercon E-71;5
11804;0;GE 1.6-82.5;34
11806;0;GE 1.85-82.5;27
11807;0.079221236;Enercon E-82;20
11810;0;Nordex N100/2500;41
11811;0;Enercon E-101;44
11814;0.39188584;GE 2.5-103;10
11815;0;GE 1.85-82.5;32
11818;0;GE 1.85-82.5;33
11819;0.198881003;Enercon E-44;17
11822;0;GE 1.6-82.5;2
11823;0;GE 1.85-82.5;39
11826;0;Enercon E-70;39
11827;0;GE 1.6-82.5;32
11830;0.077952789;Enercon E-70;23
11831;0.035435279;GE 2.5-103;24
11835;0;Enercon E-101;37
11838;0;Enercon E-101;36
11839;0;GE 2.5-103;38
11841;0;Nordex N100/2500;25
11843;0;GE 2.5-103;2
11844;0.059520087;Enercon E-82;22
11847;0.324428191;Enercon E-48;13
11851;0.036058824;Enercon E-82;26
11854;0;Enercon E-53;28
11855;0;Enercon E-82;38
11856;0.044959252;Enercon E-101;24
11857;0.167081279;Enercon E-48;3
11858;0;GE 1.85-82.5;2
11859;0.089110015;Nordex N100/2500;18
11860;0.282795421;GE 1.6-82.5;12
11866;0.083994736;GE 2.5-103;18
11867;0;Enercon E-101;38
11868;0.151737477;Enercon E-101;16
11870;0.080307583;Enercon E-44;23
11871;0.451892079;Enercon E-101;6
11872;0;GE 1.6-82.5;50
11873;0;GE 1.85-82.5;28
11874;0.476835767;Enercon E-101;10
11875;0;Enercon E-48;28
11880;0;Enercon E-44;38
11881;0;Enercon E-44;35
11883;0.067111187;Enercon E-101;21
11884;0;GE 1.85-82.5;41
11885;0.071418181;GE 2.5-103;19
11893;0;Enercon E-101;43
11894;0;Enercon E-71;1
11895;0.102858793;Enercon E-71;21
11896;0;GE 1.85-82.5;45
11897;0;Enercon E-82;1
11898;0;Nordex N100/2500;47
11901;0.077689588;Enercon E-101;20
11903;0;Enercon E-53;37
11904;0.19388872;Enercon E-71;17
11907;0.096883616;GE 1.85-82.5;18
11910;0.550248558;Enercon E-53;3
11911;0;GE 1.85-82.5;38
11912;0.137945618;GE 1.85-82.5;16
11913;0;Enercon E-70;26
11914;0;GE 2.5-103;40
11915;0;Enercon E-82;36
11922;0;Nordex N100/2500;31
11923;0;Nordex N100/2500;33
11924;0;Enercon E-53;43
11927;0;Enercon E-44;1
11928;0.040163597;GE 1.6-82.5;23
11933;0;Nordex N100/2500;38
11934;0;Enercon E-44;46
11941;0.040261141;GE 2.5-103;23
11942;0.478780728;Enercon E-53;8
11945;0.178519424;GE 2.5-103;14
11946;0.504573751;Enercon E-71;9
11949;0.090613312;Enercon E-101;19
11950;0.000705423;Enercon E-82;33
11951;0;Enercon E-82;39
11952;0;GE 2.5-103;33
11955;0;GE 2.5-103;41
11956;0.052766493;GE 1.6-82.5;21
11963;0;Enercon E-48;0
11964;0.288470591;Enercon E-82;13
11969;0;Enercon E-71;41
11970;0;Enercon E-53;30
11973;0;GE 1.6-82.5;37
11974;0.001604437;Enercon E-101;32
11977;0;GE 1.85-82.5;1
11978;0.064168928;Enercon E-53;21
11981;0.205912992;GE 1.85-82.5;14
11982;0.09239975;Enercon E-82;19
11985;0;Enercon E-70;46
11986;0;Nordex N100/2500;26
11990;0.536869432;GE 1.6-82.5;8
11993;0.417565114;GE 1.85-82.5;8
11995;0;GE 1.85-82.5;40
11996;0;GE 2.5-103;48
11997;0;Enercon E-53;47
11998;0;GE 2.5-103;44
12001;0;Enercon E-44;37
12006;0;Enercon E-53;1
12008;0;Enercon E-48;48
12010;0;Enercon E-44;32
12012;0.441177427;Enercon E-44;12
12014;0;Enercon E-44;2
12017;0.509099077;Enercon E-70;9
12019;0;GE 1.6-82.5;47
12020;0;GE 1.85-82.5;35
12021;0;Enercon E-44;44
12024;0.453571575;GE 2.5-103;6
12027;0.390091956;GE 1.85-82.5;11
12028;0;no_type;0
12029;0;no_type;1
12030;0;no_type;2
12031;0;no_type;3
12032;0;no_type;4
12033;0;no_type;5
12034;0;no_type;6
12035;0;no_type;7
12036;0;no_type;8
12037;0;no_type;9
12038;0;no_type;10
12039;0;no_type;11
12040;0;no_type;12
12041;0;no_type;13
12042;0;no_type;14
12043;0;no_type;15
12044;0;no_type;16
12045;0;no_type;17
11834;0;Enercon E-101;45
11836;0.145085069;Enercon E-53;16
11837;0;Enercon E-48;45
11840;0;GE 1.6-82.5;46
11842;0;Enercon E-70;34
11845;0;Enercon E-44;40
11846;0.504328818;Enercon E-71;10
11848;0;Enercon E-70;35
11849;0;Nordex N100/2500;30
11850;0.016618264;Enercon E-82;28
11852;0;Enercon E-70;43
11853;0.12650452;Enercon E-101;17
11861;0.45944023;Enercon E-82;6
11862;0.270490871;Enercon E-53;13
11863;0;Nordex N100/2500;28
11864;0.222426257;GE 1.6-82.5;13
11865;0;Nordex N100/2500;39
11869;0;Enercon E-44;27
11876;0.431149899;Nordex N100/2500;6
11877;0;Enercon E-44;45
11878;0.504187066;Enercon E-71;8
11879;0;GE 2.5-103;43
11882;0.064961201;Nordex N100/2500;20
11886;0.142455513;Enercon E-44;19
11887;0.119594068;GE 2.5-103;16
11888;0.091351689;Enercon E-48;20
11889;0;Enercon E-70;41
11890;0;GE 1.85-82.5;42
